0,MINIMAP_CALLOUT_UNKNOWN,
1,MINIMAP_CALLOUT_RAID_COBRA_MANOR_APPROACH,
2,MINIMAP_CALLOUT_RAID_COBRA_MANOR,
3,MINIMAP_CALLOUT_RAID_COBRA_MANOR_BACKYARD,
4,MINIMAP_CALLOUT_RAID_COBRA_FOREST,
5,MINIMAP_CALLOUT_RAID_COBRA_BARN,
6,MINIMAP_CALLOUT_RAID_COBRA_CREEK_BARN_SIDE,
7,MINIMAP_CALLOUT_RAID_COBRA_BRIDGE,
8,MINIMAP_CALLOUT_RAID_COBRA_CREEK,
9,MINIMAP_CALLOUT_RAID_COBRA_CREEK_TOWN_SIDE,
10,MINIMAP_CALLOUT_RAID_COBRA_TOWN_APPROACH,
11,MINIMAP_CALLOUT_RAID_COBRA_TOWN,
12,MINIMAP_CALLOUT_RAID_COBRA_TOWN_AMMO_DUMP,
13,MINIMAP_CALLOUT_RAID_COBRA_CHURCH_APPROACH,
14,MINIMAP_CALLOUT_RAID_COBRA_CHURCH_YARD,
15,MINIMAP_CALLOUT_RAID_COBRA_CHURCH_INT,
16,MINIMAP_CALLOUT_RAID_COBRA_CHURCH_AA_GUNS,
17,MINIMAP_CALLOUT_RAID_COBRA_CREEK_SOUTH_MG,
18,MINIMAP_CALLOUT_RAID_COBRA_CREEK_NORTH_OVRLK,
19,,
20,,
21,,
22,,
