0,MINIMAP_CALLOUT_UNKNOWN,
1,MINIMAP_CALLOUT_CANON_FARM_BARN_INTERIOR,
2,MINIMAP_CALLOUT_CANON_FARM_BARN_SPAWN,
3,MINIMAP_CALLOUT_CANON_FARM_CANNON_BACK,
4,MINIMAP_CALLOUT_CANON_FARM_CANNON_FRONT,
5,MINIMAP_CALLOUT_CANON_FARM_CANNON_NORTH,
6,MINIMAP_CALLOUT_CANON_FARM_CANNON_SOUTH,
7,MINIMAP_CALLOUT_CANON_FARM_CANNON_TOP,
8,MINIMAP_CALLOUT_CANON_FARM_CHURCH_EXTERIOR,
9,MINIMAP_CALLOUT_CANON_FARM_FARMHOUSE_INTERIOR,
10,MINIMAP_CALLOUT_CANON_FARM_FARMHOUSE_SPAWN,
11,MINIMAP_CALLOUT_CANON_FARM_FARMHOUSE_STABLE,
12,MINIMAP_CALLOUT_CANON_FARM_FIELD_NORTH_DYNAMITE,
13,MINIMAP_CALLOUT_CANON_FARM_FIELD_NORTH_ROAD,
14,MINIMAP_CALLOUT_CANON_FARM_FIELD_NORTH_TRACTOR,
15,MINIMAP_CALLOUT_CANON_FARM_FIELD_NORTH_WINDMILL,
16,MINIMAP_CALLOUT_CANON_FARM_FIELD_SOUTH,
17,MINIMAP_CALLOUT_CANON_FARM_FIELD_SOUTH_APIARY,
18,MINIMAP_CALLOUT_CANON_FARM_FIELD_SOUTH_SHACK,
19,MINIMAP_CALLOUT_CANON_FARM_MAP_ROOM_EXTERIOR,
20,MINIMAP_CALLOUT_CANON_FARM_MAP_ROOM_INTERIOR,
21,MINIMAP_CALLOUT_CANON_FARM_TRACKS_BOXCARS,
22,MINIMAP_CALLOUT_CANON_FARM_TRACKS_CONSTRUCTION,
23,MINIMAP_CALLOUT_CANON_FARM_TRACKS_TUNNEL_EAST,
24,MINIMAP_CALLOUT_CANON_FARM_TRACKS_TUNNEL_WEST,
