0,MINIMAP_CALLOUT_UNKNOWN,
1,MINIMAP_CALLOUT_RAID_BULGE_AXIS_APPROACH,
2,MINIMAP_CALLOUT_RAID_BULGE_TANK_A_START,
3,MINIMAP_CALLOUT_RAID_BULGE_TANK_B_RUINS,
4,MINIMAP_CALLOUT_RAID_BULGE_TANK_C_ROAD_ARCH,
5,MINIMAP_CALLOUT_RAID_BULGE_ALLIES_TANK_A_MG,
6,MINIMAP_CALLOUT_RAID_BULGE_ALLIES_TRENCH,
7,MINIMAP_CALLOUT_RAID_BULGE_TANK_C_OVERLOOK,
8,MINIMAP_CALLOUT_RAID_BULGE_ALLIES_CAMP,
9,MINIMAP_CALLOUT_RAID_BULGE_CTF_A,
10,MINIMAP_CALLOUT_RAID_BULGE_CTF_B,
11,MINIMAP_CALLOUT_RAID_BULGE_BARN_APPROACH,
12,MINIMAP_CALLOUT_RAID_BULGE_CREEK_APPROACH,
13,MINIMAP_CALLOUT_RAID_BULGE_BRIDGE,
14,MINIMAP_CALLOUT_RAID_BULGE_BRIDGE_SCAFFOLDING,
15,MINIMAP_CALLOUT_RAID_BULGE_CAVE,
16,MINIMAP_CALLOUT_RAID_BULGE_BRIDGE_FLANK,
17,MINIMAP_CALLOUT_RAID_BULGE_ALLIES_CHECKPOINT,
18,,
19,,
20,,
21,,
22,,
