0,MINIMAP_CALLOUT_UNKNOWN,
1,MINIMAP_CALLOUT_D_DAY_FARMHOUSE,
2,MINIMAP_CALLOUT_D_DAY_FARMHOUSE_SECOND_FLOOR,
3,MINIMAP_CALLOUT_D_DAY_FARMHOUSE_EXT,
4,MINIMAP_CALLOUT_D_DAY_SPAWN_EAST,
5,MINIMAP_CALLOUT_D_DAY_SPAWN_WEST,
6,MINIMAP_CALLOUT_D_DAY_BUNKER_EAST,
7,MINIMAP_CALLOUT_D_DAY_BUNKER_WEST,
8,MINIMAP_CALLOUT_D_DAY_BUNKER_EAST_TUNNEL,
9,MINIMAP_CALLOUT_D_DAY_BEACH_EAST,
10,MINIMAP_CALLOUT_D_DAY_GUN_TURRETS,
11,MINIMAP_CALLOUT_D_DAY_TRENCH_EAST,
12,MINIMAP_CALLOUT_D_DAY_TRENCH_EAST_GUN_MOUNT,
13,MINIMAP_CALLOUT_D_DAY_TRENCH_WEST,
14,MINIMAP_CALLOUT_D_DAY_TRENCH_WEST_GUN_MOUNT,
15,MINIMAP_CALLOUT_D_DAY_CENTER,
16,MINIMAP_CALLOUT_D_DAY_BUNKER_MAIN,
17,MINIMAP_CALLOUT_D_DAY_BUNKER_MAIN_BALCONY,
18,MINIMAP_CALLOUT_D_DAY_BUNKER_SOUTH,
19,MINIMAP_CALLOUT_D_DAY_POINT,
20,MINIMAP_CALLOUT_D_DAY_BARN,
21,MINIMAP_CALLOUT_D_DAY_BARN_SECOND_FLOOR,
22,MINIMAP_CALLOUT_D_DAY_BUNKER_TANK,
